@relation Cuaca_predicted

@attribute Jurusan_SMA {LAIN,IPA,IPS}
@attribute Gender {WANITA,PRIA}
@attribute Asal_Sekolah {SURAKARTA,LUAR}
@attribute Rerata_SKS numeric
@attribute Asisten {YA,TIDAK}
@attribute 'prediction margin' numeric
@attribute 'predicted Lama_Studi' {TERLAMBAT,TEPAT}
@attribute Lama_Studi {TERLAMBAT,TEPAT}

@data
IPS,PRIA,SURAKARTA,18,TIDAK,0.375862,TERLAMBAT,?
LAIN,WANITA,SURAKARTA,19,YA,-0.836469,TEPAT,?
IPS,WANITA,SURAKARTA,19,TIDAK,0.175169,TERLAMBAT,?
IPA,WANITA,LUAR,17,TIDAK,0.713206,TERLAMBAT,?
IPS,PRIA,SURAKARTA,17,TIDAK,0.546846,TERLAMBAT,?
LAIN,PRIA,LUAR,18,YA,-0.757815,TEPAT,?
LAIN,WANITA,SURAKARTA,18,TIDAK,0.125076,TERLAMBAT,?
LAIN,WANITA,SURAKARTA,19,TIDAK,-0.356012,TEPAT,?
IPA,WANITA,LUAR,18,TIDAK,0.588286,TERLAMBAT,?
IPS,PRIA,SURAKARTA,18,TIDAK,0.375862,TERLAMBAT,?
